User,Completed,Blocked,In Progress,Not Started,Will Not Do,Total
alephtwo,46,0,0,0,0,46
delebota,27.5,0,0,0,0,27.5
kubicect,26,3,0,0,5,34
novoalg,26,0,0,0,0,26
Team,125.5,3,0,0,5,133.5
