User,Completed,Blocked,In Progress,Not Started,Will Not Do,Total
alephtwo,38,0,0,0,0,38
delebota,34,0,0,0,0,34
kubicect,30,0,0,0,0,30
novoalg,40,0,0,0,1,41
Team,142,0,0,0,1,143
